record_id,comparison_group_id,metric_number,mapped_v4_metric_number,initiative_mapping_status,tracking_id_normalized,group_tracking_ids,wmp_category,wmp_initiative,wmp_activity,expense_type,hftd_tier,unit_canonical,actual_value_canonical,primary_driver_targeted,secondary_drivers_targeted,year_initiated,most_recent_proceeding,memorandum_account,current_compliance_status,associated_rules,other_spend_category,comments,blank_meaning,utility_id,reporting_year,schema_version,source_revision,source_file,source_sheet,source_row,source_value_cell,guideline_url
T11R-7d1e1ebb96fffd5e,T11-97310a8a81f2f1,,3110000160,component_of_v4_tracking_id_group,WMP.1008,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,CAPEX,Territory,$ Thousands,16243.28431,PSPS Vulnerability,NA,2013,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,15,AD15,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-8b5d17668a5fefcd,T11-97310a8a81f2f1,,3110000161,component_of_v4_tracking_id_group,WMP.1008,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,CAPEX,HFTD,$ Thousands,16243.28431,PSPS Vulnerability,NA,2013,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,15,AE15,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-f50b827cd63f6740,T11-97310a8a81f2f1,,3110000162,component_of_v4_tracking_id_group,WMP.1008,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,OPEX,Territory,$ Thousands,19458.86734,PSPS Vulnerability,NA,2013,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,15,AF15,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-a837fcb2ef0b10d2,T11-97310a8a81f2f1,,3110000163,component_of_v4_tracking_id_group,WMP.1008,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,OPEX,HFTD,$ Thousands,19458.86734,PSPS Vulnerability,NA,2013,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,15,AG15,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-852053e60a25fda5,T11-900fca4a60b69b,,3110000164,component_of_v4_tracking_id_group,WMP.1201,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,CAPEX,Territory,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,16,AD16,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-102a99f147cffc5b,T11-900fca4a60b69b,,3110000165,component_of_v4_tracking_id_group,WMP.1201,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,CAPEX,HFTD,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,16,AE16,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-89734f1b0410f0d7,T11-900fca4a60b69b,,3110000166,component_of_v4_tracking_id_group,WMP.1201,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,OPEX,Territory,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,16,AF16,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-5fbe6769d39d7151,T11-900fca4a60b69b,,3110000167,component_of_v4_tracking_id_group,WMP.1201,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,OPEX,HFTD,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,16,AG16,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-84c32c526982821d,T11-97310a8a81f2f1,,3110000160,component_of_v4_tracking_id_group,WMP.514,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,CAPEX,Territory,$ Thousands,0,Equipment failure,Other contact with object,2009,2019 GRC,NA,Exceeds,P.U. Code § 451,NA,Crew-accompanying ignition prevention and suppression resources and services,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,17,AD17,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-f24a3338aec7c631,T11-97310a8a81f2f1,,3110000161,component_of_v4_tracking_id_group,WMP.514,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,CAPEX,HFTD,$ Thousands,0,Equipment failure,Other contact with object,2009,2019 GRC,NA,Exceeds,P.U. Code § 451,NA,Crew-accompanying ignition prevention and suppression resources and services,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,17,AE17,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
