record_id,metric_number,legacy_metric_number_mapped,v3_1_to_v3_2_domain_status,v3_2_to_v4_label_status,metric_type,ignition_driver,line_type,hftd_tier,unit_canonical,unit_crosswalk_status,ignition_driver_tracked,actual_value,comments,blank_meaning,utility_id,reporting_year,reporting_quarter,schema_version,source_revision,source_report_quarter,source_file,source_sheet,source_row,source_value_cell,guideline_url
T6R-f3fd45810b75d7dd,1060000005,1.a.t.3,exact,exact,1. Dig-in,Dig-in,Transmission,HFTD Tier 3,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,15,O15,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-4021e36ce3e0d9fe,1060000005,1.a.t.3,exact,exact,1. Dig-in,Dig-in,Transmission,HFTD Tier 3,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,15,P15,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-160ce422038f8158,1060000006,2.a.d.0,exact,exact,2. Contact from object,Animal contact,Distribution,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,16,M16,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-33401f2e643548d4,1060000006,2.a.d.0,exact,exact,2. Contact from object,Animal contact,Distribution,Non-HFTD,# ignitions,exact,Yes,1,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,16,N16,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-69eac74315721ba8,1060000006,2.a.d.0,exact,exact,2. Contact from object,Animal contact,Distribution,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,16,O16,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-5f224d9744db0f8d,1060000006,2.a.d.0,exact,exact,2. Contact from object,Animal contact,Distribution,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,16,P16,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-eda179ac881a8192,1060000007,2.a.d.2,exact,exact,2. Contact from object,Animal contact,Distribution,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,17,M17,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-ebd6c08b7bb66be2,1060000007,2.a.d.2,exact,exact,2. Contact from object,Animal contact,Distribution,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,17,N17,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-8b7977999cfe0253,1060000007,2.a.d.2,exact,exact,2. Contact from object,Animal contact,Distribution,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,17,O17,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-825a0c360a951c4c,1060000007,2.a.d.2,exact,exact,2. Contact from object,Animal contact,Distribution,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,17,P17,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-ee7ff386de42e953,1060000008,2.a.d.3,exact,exact,2. Contact from object,Animal contact,Distribution,HFTD Tier 3,# ignitions,exact,Yes,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,18,M18,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-54239d94ec40d149,1060000008,2.a.d.3,exact,exact,2. Contact from object,Animal contact,Distribution,HFTD Tier 3,# ignitions,exact,Yes,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,18,N18,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-e6641afcb434e10e,1060000008,2.a.d.3,exact,exact,2. Contact from object,Animal contact,Distribution,HFTD Tier 3,# ignitions,exact,Yes,2,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,18,O18,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-2cf3beb7aa80c44c,1060000008,2.a.d.3,exact,exact,2. Contact from object,Animal contact,Distribution,HFTD Tier 3,# ignitions,exact,Yes,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,18,P18,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
