record_id,metric_number,legacy_metric_number_mapped,crosswalk_status,metric_type,line_type,hftd_tier,area_type,wui_status,unit_canonical,unit_crosswalk_status,actual_value,comments,blank_meaning,utility_id,reporting_year,reporting_quarter,schema_version,source_revision,source_report_quarter,source_file,source_sheet,source_row,source_value_cell,guideline_url
T8R-ee44660e5962446f,1080000008,1.d.2.b.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Rural,WUI,Circuit miles,exact,0.04800000000000182,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,18,M18,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-f48719c5d3630f16,1080000008,1.d.2.b.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Rural,WUI,Circuit miles,exact,0.8120000000000118,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,18,N18,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-a74cc4707199f24c,1080000008,1.d.2.b.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Rural,WUI,Circuit miles,exact,0.5099999999999909,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,18,O18,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-95d54f5b310e2260,1080000008,1.d.2.b.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Rural,WUI,Circuit miles,exact,-0.38999999999998636,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,18,P18,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-65b2afca6144e4b6,1080000009,1.d.2.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Rural,Non-WUI,Circuit miles,exact,-1.4259999999999309,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,19,M19,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-84cb3b5a73193ce7,1080000009,1.d.2.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Rural,Non-WUI,Circuit miles,exact,-1.58400000000006,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,19,N19,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-dd36708f7fe5afec,1080000009,1.d.2.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Rural,Non-WUI,Circuit miles,exact,0.03999999999996362,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,19,O19,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-db8592ef37c6e3e1,1080000009,1.d.2.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Rural,Non-WUI,Circuit miles,exact,-3.7099999999999227,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,19,P19,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-d63fbc864f971b82,1080000010,1.d.2.c.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Highly rural,WUI,Circuit miles,exact,0.004999999999999005,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,20,M20,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-2f63497be54586bd,1080000010,1.d.2.c.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Highly rural,WUI,Circuit miles,exact,0.125,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,20,N20,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-1b4a3c7100ac5111,1080000010,1.d.2.c.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Highly rural,WUI,Circuit miles,exact,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,20,O20,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-19146657d313ec92,1080000010,1.d.2.c.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Highly rural,WUI,Circuit miles,exact,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,20,P20,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-224d1a97e42afbb9,1080000011,1.d.2.c.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Highly rural,Non-WUI,Circuit miles,exact,-0.6559999999999775,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,21,M21,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-f95098ee000798bc,1080000011,1.d.2.c.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Highly rural,Non-WUI,Circuit miles,exact,0.5859999999999843,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,21,N21,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-e769b1e04a6f0b7e,1080000011,1.d.2.c.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Highly rural,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,21,O21,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-e6569b6c418d20f2,1080000011,1.d.2.c.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Highly rural,Non-WUI,Circuit miles,exact,-0.020000000000010232,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,21,P21,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-949ba6ec0790a3e3,1080000012,1.d.3.a.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Urban,WUI,Circuit miles,exact,0.006000000000000227,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,22,M22,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-0a9b0eec38628d9d,1080000012,1.d.3.a.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Urban,WUI,Circuit miles,exact,0.12400000000000055,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,22,N22,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-5fa1a2cdd1b2958c,1080000012,1.d.3.a.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Urban,WUI,Circuit miles,exact,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,22,O22,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-5f3ad06eafdcf66d,1080000012,1.d.3.a.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Urban,WUI,Circuit miles,exact,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,22,P22,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-fa5dcb5e366546c8,1080000013,1.d.3.a.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Urban,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,23,M23,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-2f42e40414f1de0a,1080000013,1.d.3.a.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Urban,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,23,N23,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-0bb97aa1321bf2eb,1080000013,1.d.3.a.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Urban,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,23,O23,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-ab9107143ded7790,1080000013,1.d.3.a.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Urban,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,23,P23,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-c67db17fd405828d,1080000014,1.d.3.b.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Rural,WUI,Circuit miles,exact,-4.951999999999998,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,24,M24,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-50f3e2d91d3277ea,1080000014,1.d.3.b.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Rural,WUI,Circuit miles,exact,1.5720000000000027,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,24,N24,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-8bdcd51b45e74091,1080000014,1.d.3.b.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Rural,WUI,Circuit miles,exact,-1.4399999999999409,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,24,O24,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-eda0f672793cf755,1080000014,1.d.3.b.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Rural,WUI,Circuit miles,exact,-5.930000000000064,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,24,P24,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-b26812f7db801668,1080000015,1.d.3.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Rural,Non-WUI,Circuit miles,exact,-4.753999999999905,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,25,M25,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-b2643edb5641b7ae,1080000015,1.d.3.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Rural,Non-WUI,Circuit miles,exact,1.113999999999919,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,25,N25,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-453d4deff5ad43d6,1080000015,1.d.3.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 3,Rural,Non-WUI,Circuit miles,exact,0.18000000000006366,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,25,O25,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
